,도로조건,계약면적(㎡),건축년도,year,month,coivd,price_per_m2,전월세구분_월세,전월세구분_전세
292,8,62.5,1982,2019,5,0,86.336,True,False
293,12,63.94,2011,2019,3,0,62.55864873318737,False,True
294,8,65.16,1991,2019,3,0,141.7280540208717,True,False
295,8,66.11,1975,2019,12,0,96.53607623657541,True,False
296,8,76.0,1991,2019,4,0,52.63157894736842,False,True
297,8,78.51,1991,2019,3,0,114.63507833397018,False,True
298,12,78.75,1994,2019,7,0,66.31111111111112,True,False
299,12,82.5,2019,2019,3,0,157.57575757575756,False,True
300,12,82.64,1968,2019,9,0,121.00677637947724,False,True
301,12,83.02,2017,2019,12,0,144.5434834979523,False,True
302,25,83.22,2018,2019,9,0,78.10622446527277,False,True
303,25,83.22,2018,2019,9,0,84.11439557798606,False,True
304,8,90.93,1994,2019,8,0,65.98482349059715,False,True
305,8,102.0,1968,2019,4,0,93.41176470588235,True,False
306,8,52.11,2002,2019,4,0,163.65380924966416,True,False
307,8,93.15,2012,2019,1,0,45.77563070316693,True,False
308,8,29.75,2018,2019,6,0,300.0,True,False
309,8,30.94,2018,2019,10,0,210.98901098901098,True,False
310,8,30.94,2018,2019,10,0,145.44279250161603,False,True
311,8,33.19,2018,2019,2,0,180.77734257306417,False,True
312,8,36.36,2018,2019,3,0,276.65016501650166,True,False
313,25,62.15,1980,2019,10,0,105.03620273531779,True,False
314,8,77.65,1994,2019,2,0,90.1481004507405,False,True
315,8,47.6,2019,2019,10,0,211.28151260504202,True,False
316,8,47.6,2019,2019,10,0,211.28151260504202,True,False
317,8,50.02,2019,2019,10,0,202.17912834866053,True,False
318,8,82.57,1995,2019,2,0,66.96136611360059,True,False
319,8,36.69,1948,2019,1,0,81.76614881439085,False,True
320,8,144.2,1995,2019,4,0,34.674063800277395,False,True
321,12,66.11,1994,2019,3,0,145.39404023597035,True,False
322,8,10.0,2011,2019,8,0,592.7,True,False
323,8,19.83,2010,2019,4,0,329.19818456883513,True,False
324,12,20.0,2012,2019,11,0,229.4,True,False
325,8,23.1,2007,2019,9,0,269.35064935064935,True,False
326,8,23.14,2008,2019,12,0,313.69922212618843,True,False
327,12,24.79,2016,2019,1,0,161.35538523598225,False,True
328,8,25.0,2011,2019,5,0,311.68,True,False
329,12,25.0,2016,2019,6,0,343.08,True,False
330,12,25.55,2010,2019,5,0,250.99804305283757,True,False
331,8,26.0,2009,2019,12,0,152.92307692307693,True,False
332,8,26.4,2004,2019,12,0,198.06818181818184,True,False
333,12,26.98,2014,2019,4,0,321.6085989621942,True,False
334,12,28.0,2014,2019,7,0,304.35714285714283,True,False
335,8,28.0,2017,2019,11,0,281.5,True,False
336,12,28.0,2010,2019,3,0,142.85714285714286,False,True
337,12,29.65,2015,2019,3,0,168.63406408094437,False,True
338,12,30.0,2015,2019,12,0,306.8666666666667,True,False
339,8,30.0,2017,2019,10,0,318.56666666666666,True,False
340,12,30.0,2009,2019,3,0,291.1666666666667,True,False
341,12,30.0,2012,2019,4,0,202.9,True,False
342,8,30.0,2007,2019,5,0,223.6,True,False
343,8,30.0,2009,2019,12,0,134.3,True,False
344,12,30.0,2010,2019,7,0,133.33333333333334,False,True
345,8,30.0,2009,2019,8,0,133.33333333333334,False,True
346,12,30.0,2015,2019,7,0,150.0,False,True
347,12,30.85,2011,2019,1,0,145.8670988654781,False,True
348,12,32.0,2016,2019,5,0,208.125,True,False
349,12,33.0,2015,2019,6,0,255.3030303030303,True,False
350,12,33.0,2015,2019,5,0,256.09090909090907,True,False
351,8,33.0,2011,2019,9,0,264.3030303030303,True,False
352,8,33.0,2011,2019,7,0,258.24242424242425,True,False
353,8,33.0,2010,2019,4,0,211.87878787878788,True,False
354,8,33.0,2007,2019,1,0,106.06060606060606,False,True
355,12,33.0,2015,2019,8,0,181.8181818181818,False,True
356,12,36.0,2015,2019,4,0,260.47222222222223,True,False
357,12,36.0,2015,2019,1,0,252.88888888888889,True,False
358,12,36.0,2007,2019,11,0,138.88888888888889,False,True
359,8,38.0,2016,2019,12,0,202.78947368421052,True,False
360,8,39.66,2008,2019,5,0,212.43066061522947,True,False
