"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131101"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201212","28","19,000","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201301","4","19,000","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201301","11","18,800","7","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201301","28","19,000","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201301","28","19,000","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201302","3","19,350","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201302","21","19,000","2","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201302","25","18,800","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201302","25","19,100","6","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201303","5","19,000","6","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201303","11","19,000","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201304","8","18,800","6","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201304","9","19,000","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201304","22","18,900","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201305","9","19,200","8","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201305","16","19,000","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201305","22","19,000","7","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201305","22","19,000","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201306","10","19,100","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201306","25","19,500","3","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201306","28","18,300","4","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201309","4","20,500","8","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201309","26","19,000","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201310","2","19,400","5","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","138.9363","201212","26","37,100","2","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","110.7705","201303","30","25,500","2","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","138.9363","201304","21","33,000","14","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","110.7705","201305","24","30,000","12","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","110.7705","201306","11","31,000","13","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","138.9363","201308","2","28,000","2","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","138.9363","201308","11","36,500","12","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","138.9363","201308","14","35,200","12","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","479-1","0479","0001","제일풍경채","110.7705","201310","15","28,900","8","2007","가좌안골길21번길 5","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201211","12","16,600","5","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","84.9","201211","19","22,900","18","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201211","22","15,900","3","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201211","29","13,000","14","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201212","18","16,800","10","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201212","18","17,100","18","2005","내동로348번길 10","","-","-"
